HMS,StructuredFormula,Temperature,Pressure,crystal_system
P b n m,Nd0.5Sr0.5Fe0.5Mn0.5O3,293,0.101325,orthorhombic
P b n m,Pr0.5Sr0.5Fe0.5Mn0.5O3,293,0.101325,orthorhombic
P b c n,Pb2Mn1.36Fe0.64Si2O9,293,0.101325,orthorhombic
P b n m,Mg1.064Fe0.902Mn0.034Si1O4,293,0.101325,orthorhombic
P b n m,Mg0.347Fe1.548Mn0.105Si1O4,293,0.101325,orthorhombic
P b n m,Mg0.145Fe1.742Mn0.113Si1O4,293,0.101325,orthorhombic
P b n m,Mg0.136Fe1.741Mn0.123Si1O4,293,0.101325,orthorhombic
P b n m,Mg0.105Fe1.741Mn0.121Si1O4,293,0.101325,orthorhombic
P b n m,Mg0.075Fe1.791Mn0.134Si1O4,293,0.101325,orthorhombic
P b n m,La0.667Ca0.333Mn0.99In0.01O3,293,0.101325,orthorhombic
P b n m,La0.667Ca0.333Mn0.97In0.03O3,293,0.101325,orthorhombic
P b n m,La0.667Ca0.333Mn0.95In0.05O3,293,0.101325,orthorhombic
P b n m,La0.667Ca0.333Mn0.93In0.07O3,293,0.101325,orthorhombic
P n m a,La0.1Ca0.9Mn0.95Ge0.05O3,293,0.101325,orthorhombic
P n m a,La0.1Ca0.9Mn0.9Ge0.1O3,293,0.101325,orthorhombic
I m m a,La0.69Pb0.31Mn0.62Ti0.38O3,293,0.101325,orthorhombic
P n m a,Pb1Mn1V1O5H1,293,0.101325,orthorhombic
P n n m,Mn0.808Fe0.072Al1.12Si1O5,293,0.101325,orthorhombic
P b n m,La0.67Ca0.33Mn0.894Fe0.106O3.05,293,0.101325,orthorhombic
I m a 2,Sr1Ca1Mn1Ga1O5,290,0.101325,orthorhombic
I m m a,Mn1Fe1F5H4O2,293,0.101325,orthorhombic
P m m m,Y0.957Ba1.988Cu2.912Mn0.088O6.989,293,0.101325,orthorhombic
A 2 a a,Bi1Pb1Sr2Mn1O6,293,0.101325,orthorhombic
P b n m,La0.75Ca0.2Na0.05Mn1O3,293,0.101325,orthorhombic
P b n m,La0.75Ca0.15Na0.1Mn1O3,293,0.101325,orthorhombic
C m c m,Tl2Mn1F5H2O1,293,0.101325,orthorhombic
P n m a,Ba1Pb1.5Mn6Al2O16,293,0.101325,orthorhombic
P b c a,Ca1.67Mn0.33H2Si1O5,293,0.101325,orthorhombic
I m m m,Ba1Mn0.36Mg0.64Nd2O5,293,0.101325,orthorhombic
P n n m,Mg1.33Mn1.49Sb0.17B1O5,293,0.101325,orthorhombic
A m a a,Bi1Pb1Sr2Mn1O6,293,0.101325,orthorhombic
I m m a,Mn1V1F5H4O2,293,0.101325,orthorhombic
P b n m,Pr0.7Ca0.2Sr0.1Mn1O3,293,0.101325,orthorhombic
